Date,Order no.,Weight,Thickness,Start time ,End time ,Occurences ,Machine no ,Operator no
12-04-2022,10055,2.2,6,09:00,09:02,Loading,1,23;45
12-04-2022,10055,2.2,6,09:12,09:10,Running,1,23;45
12-04-2022,10055,2.2,6,09:10,09:12,Unloading,1,23;45
12-04-2022,10055,2.2,6,09:18,09:22,Clasping,1,23;45
12-04-2022,10056,2.2,6,09:15,09:17,Loading,1,23;45
12-04-2022,10056,2.2,6,09:17,09:25,Running,1,23;45
12-04-2022,10056,2.2,6,09:25,09:27,Unloading,1,23;45
12-04-2022,10056,2.2,6,09:27,09:29,Clasping,1,23;45
12-04-2022,10057,3.5,8,09:30,09:33,Loading,1,23;45
12-04-2022,10057,3.5,8,09:33,09:42,Running,1,23;45
12-04-2022,10057,3.5,8,09:42,09:45,Unloading,1,23;45
12-04-2022,10057,3.5,8,09:45,09:47,Clasping,1,23;45
12-04-2022,10058,3,6,09:48,09:50,Loading,1,23;45
12-04-2022,10058,3,6,09:50,09:58,Running,1,23;45
12-04-2022,10058,3,6,09:58,10:00,Unloading,1,23;45
12-04-2022,10058,3,6,10:00,10:02,Clasping,1,23;45
12-04-2022,10062,2.5,6,10:03,10:05,Loading,1,23;45
12-04-2022,10062,2.5,6,10:05,10:13,Running,1,23;45
12-04-2022,10062,2.5,6,10:13,10:15,Unloading,1,23;45
12-04-2022,10062,2.5,6,10:15,10:17,Clasping,1,23;45
